"Q","SERIES_CODE","total_search","sum_link","sum_linkCtg","total_codefix","total_tabcount","links_by_series"
"htd",110302248250,11,1,0,1,1,1
"hlra",110300354410,17,12,0,5,32,12
"shock",110300269530,26,22,7,4,9,4
"shock",110300269260,26,22,7,1,6,4
"shock absorber",110300269530,55,49,18,2,12,7
"lhfr-n16",110300027060,2,2,0,1,2,2
"h",110100146920,93,1,0,1,1,1
"stop screw",110300592840,21,26,0,2,9,4
"stop screw",110300590650,21,26,0,1,2,1
"stop screw",110302167750,21,26,0,1,7,5
"stop screw",110300591010,21,26,0,1,18,5
"stop screw",110300595640,21,26,0,1,6,2
"stop screw",110302195570,21,26,0,1,3,2
"rbxc-d25-l50-v10",110300274070,2,1,0,1,3,1
"pulley",110300407250,159,45,89,1,1,1
"pulley",110302193470,159,45,89,2,7,4
"pulley",110300409440,159,45,89,1,6,2
"hfs5-4080-940",110302368920,7,4,0,4,4,4
"hfs5-4080-100",110302368920,1,1,0,1,1,1
"hfs5-2080-70-ltp",110302368920,1,1,0,1,1,1
"pack-spwfn5",110300234010,1,3,0,3,3,3
"pwf5",110300252910,2,1,0,1,2,1
"msbul6",110300335760,5,4,0,4,4,4
"mcksc20-6.35-8",110300120340,3,1,0,1,1,1
"htpa30s3m060-a-n8",110300405940,0,1,0,1,1,1
"fjfn",110300512070,39,35,0,11,75,35
"fjfnh1",110300512070,1,1,0,1,3,1
"fjfnh12-100",110300512070,2,1,0,1,3,1
"fjfnh",110300512070,2,1,0,0,2,1
"fjfn10",110300512070,3,2,0,2,5,2
"hfs5-2020-335",110302368740,7,6,0,5,10,6
"hfs5-2020-200",110302368740,12,9,0,9,13,9
"hfsy5",110302368740,7,6,0,3,16,6
"hfsy5-2020-335",110302368740,1,1,0,1,4,1
"hfsb5-2020-335",110302368740,1,1,0,1,1,1
"hnkk5-5",110302246940,84,75,0,69,219,75
"hnkk5",110302246940,12,8,0,7,31,8
"hnkk",110302246940,10,7,0,4,18,6
"hnk",110302246940,0,2,0,2,10,2
"hnkk5-4",110302246940,11,9,0,9,16,9
"sfj8-170",110300000120,3,3,0,3,3,3
"sfj8-230",110300000120,2,2,0,2,2,2
"rod",110300013850,72,15,48,1,1,1
"rod",110300356850,72,15,48,1,2,2
"cable carrier",110302192430,50,15,4,1,5,4
"polycarbonate",110300534560,17,13,6,1,20,9
"pcta2h-96-60-3-f72-g52.5-n6",110300534650,2,1,0,0,2,1
"pcta",110300534650,21,15,0,2,4,2
"pcta",110300534560,21,15,0,7,19,13
"pcta-314-392-5",110300534560,1,1,0,0,4,1
"pctsp",110300534650,0,1,0,1,2,1
"hfsqn4-1050-345",110302261730,1,1,0,1,1,1
"hfspure5-8516",110302374340,3,2,0,2,2,2
"hfspure",110302374340,3,1,0,1,2,1
"hfsfin",110302374340,6,6,0,1,2,1
"hbldswt8-set",110300452750,1,1,0,1,2,1
"hntt8-8",110302256040,22,18,0,11,35,18
"mtsnr10",110300084910,2,2,0,2,5,2
"ku",110302277310,11,2,0,2,2,2
"spline",110300025140,27,6,7,1,1,1
"ball spline",110300024960,12,14,1,0,5,2
"bssm16-300",110300024960,1,1,0,0,2,1
"spline",110300024960,27,6,7,1,6,2
"lhfcdm6",110300026720,1,1,0,1,1,1
"cffr",110300111330,8,8,0,7,15,8
"cff",110300111330,14,1,0,1,2,1
"cffr12-30",110300111330,3,1,0,0,2,1
"cffru",110300111940,6,1,0,1,2,1
"nzrs",110300349060,6,4,0,3,8,4
"chain",110300430440,41,25,18,1,3,2
"mtsfr8",110300084910,12,12,0,10,29,12
"mtsfr",110300084910,16,11,0,10,24,11
"mtsfr10",110300084910,2,2,0,2,5,2
"cam follower",110300113160,80,70,23,4,27,13
"cam follower",110302274510,80,70,23,4,13,4
"cam follower",110302274420,80,70,23,1,8,6
"cam follower",110300112910,80,70,23,2,8,3
"cam follower",110302274850,80,70,23,1,1,1
"cam follower",110300111150,80,70,23,1,9,4
"cam follower",110300111330,80,70,23,1,8,5
"torx",110300464470,6,3,0,1,7,3
"lhkmcnl",110300028030,1,1,0,1,2,1
"cfs2.0",110302307050,1,1,0,1,4,1
"rod end",110300371730,59,27,20,3,34,16
"rod end",110300356850,59,27,20,1,5,3
"2gt pulley",110302194010,7,7,0,2,2,2
"2gt pulley",110302193470,7,7,0,4,7,5
"gpa24",110302193470,3,1,0,1,2,1
"aikfb",110300555650,39,23,0,13,59,23
"aikfb300",110300555650,0,2,0,2,4,2
"angle plate",110300555650,46,26,27,3,10,4
"aikfb150-70",110300555650,7,5,0,3,9,5
"spacer",110300114650,363,297,123,6,37,21
"spacer",110100142630,363,297,123,4,12,9
"j10",110100142630,3,3,0,3,5,3
"spacer",110302160840,363,297,123,3,35,21
"bearing spacer",110302160840,46,48,0,4,23,15
"spacer",110300125760,363,297,123,1,5,1
"spacer",110302283340,363,297,123,1,12,8
"spacer",110302160930,363,297,123,1,20,8
"spacer",110300243540,363,297,123,1,26,18
"pekp10-lc31",110300243540,1,1,0,1,3,1
"spacer",110100101510,363,297,123,1,9,9
"spacer",110200134420,363,297,123,3,24,23
"clbub",110300114650,20,13,0,5,28,13
"clbps",110300114650,4,3,0,1,3,3
"ss400",110300229360,22,7,0,1,7,2
"ss400",110302243010,22,7,0,1,9,5
"utns",110300275920,1,2,0,2,2,2
"cnsgj100",110300499310,2,2,0,2,4,2
"cnsgj",110300499310,5,4,0,0,11,4
"tapered dowel pins",110100140870,2,6,0,2,3,3
"belt conveyor",110302279660,6,2,3,1,2,1
"o",110200126720,9,1,0,1,1,1
"bswz1526",110300080260,1,1,0,1,4,1
"sselb",110300042820,17,7,0,5,23,7
"sselb6g_70",110300042820,1,1,0,0,2,1
"sselb6g",110300042820,2,1,0,1,2,1
"s2m",110300413730,10,6,0,2,9,3
"xpg",110300196460,3,3,0,3,7,3
"shhps",110300478650,20,6,0,1,1,1
"mc02",110302029330,12,5,0,3,12,3
"mc02",110302205210,12,5,0,2,3,2
"ste",110300595640,17,2,0,2,5,2
"roller",110300110020,124,16,105,1,3,2
"roller",110300109660,124,16,105,1,1,1
"mtsra8-200-s10-q6",110300082630,5,4,0,4,5,4
"mtsra10-200-s10-q6",110300082630,1,1,0,1,1,1
"mtsr8-200",110300082540,2,1,0,1,2,1
"mtstr",110300082540,3,1,0,0,2,1
"usteh",110300596160,6,6,0,4,15,6
"mchsr",110300382660,3,3,0,2,10,3
"hblss5",110300438930,24,22,0,13,45,22
"hblsd5",110300438930,31,32,0,27,105,32
"hblst5",110300438930,3,2,0,1,9,2
"swl8-20",110100185670,3,3,0,1,4,3
"mcjsn18-8-5",110300126640,6,5,0,4,5,5
"st",110302501130,52,1,0,1,1,1
"stopper bolt",110300592410,39,25,8,1,15,8
"strb",110300592410,19,11,0,4,19,11
"strb4-40",110300592410,1,1,0,1,2,1
"stopper bolt",110300596520,39,25,8,2,10,5
"mchk5",110300382320,5,1,0,1,1,1
"mchk",110300382320,7,4,0,3,6,4
"mchs",110300382320,5,4,0,1,8,4
"heater",110300382320,13,10,1,1,1,1
"shock absorbers",110300269260,15,21,1,4,24,8
"mac1214h",110300269260,4,5,0,1,15,5
"shock absorbers",110300269440,15,21,1,1,3,1
"shock absorbers",110300269530,15,21,1,1,5,3
"shfz",110300031960,34,25,0,10,68,25
"shouldered bushing",110300031960,2,2,0,1,10,2
"shoulder bushing",110300031960,3,1,0,0,5,1
"shfz10-10",110300031960,1,1,0,1,3,1
"hfs5-4040-1130",110302368830,2,1,0,1,1,1
"hfs5-2040-1564",110302368830,1,1,0,1,1,1
"hfs5-2040-1620",110302368830,2,2,0,2,3,2
"hfs5-2040-80-lat45",110302368830,1,1,0,1,1,1
"hfs5-2040-140-z5-ya20-yb94",110302368830,3,3,0,3,5,3
"hfs5-2040-62-z5-ya10",110302368830,2,2,0,2,2,2
"hfs5-4040-1564",110302368830,2,2,0,2,2,2
"hfs5-2040-830",110302368830,1,1,0,1,1,1
"hfs5-4040-190",110302368830,2,2,0,1,2,2
"hfs5-2040-80",110302368830,2,1,0,1,1,1
"hfs5-2040-1130",110302368830,4,3,0,3,3,3
"hfs5-2040-320",110302368830,1,1,0,1,1,1
"hfsb5-2040-120",110302368830,2,2,0,1,4,2
"hfsb5-2040-1260",110302368830,6,5,0,5,5,5
"hfs5-4040-360",110302368830,3,2,0,2,2,2
"hfsb5-2040-860",110302368830,2,2,0,2,3,2
"hfs5-2040-96-z5-ya46-yb76",110302368830,3,3,0,2,3,3
"hfsb5-2040-858",110302368830,2,1,0,1,1,1
"hfs5-4040-120",110302368830,2,1,0,1,1,1
"hfs5-2040-190",110302368830,2,1,0,1,1,1
"hfs5-4040-860",110302368830,5,2,0,1,3,2
"hfs5-2040-860",110302368830,2,2,0,2,3,2
"hfsb5-2040-750",110302368830,2,2,0,2,2,2
"hfs5-2040-100",110302368830,2,2,0,2,2,2
"hfs5-4040-1426",110302368830,1,1,0,1,1,1
"hfs5-2040-75-ltp",110302368830,1,1,0,1,1,1
"hfs5-4040-1620",110302368830,1,1,0,1,1,1
"shft",110300013850,6,1,0,1,1,1
"scst",110300019270,6,1,0,1,4,1
"htbn",110300413730,87,2,0,2,2,2
"ssebz",110300041670,11,6,0,2,12,4
"ssebz",110300041510,11,6,0,1,3,2
"msb10-60",110300249140,6,9,0,4,20,7
"msb10-60",110100143940,6,9,0,1,2,2
"msb10-50",110300249140,2,2,0,1,7,2
"msb10-15",110300249140,6,5,0,3,7,4
"msb20-40",110300249140,3,2,0,1,6,2
"msb20-120",110300249140,2,2,0,1,4,1
"msb10-10",110300249140,2,2,0,2,5,2
"msb10-70",110300249140,1,1,0,1,4,1
"smsb10-15",110300249140,1,1,0,1,4,1
"npjx",110300142740,2,1,0,1,1,1
"shbz",110300031870,20,16,0,3,38,16
"shbz6-8",110300031870,1,1,0,1,3,1
"hfs5-2020-160",110302368740,13,15,0,12,34,15
"hfs5-2020",110302368740,40,32,0,19,80,32
"hfs5-2020-230",110302368740,5,6,0,3,14,6
"hfs5-2020-090",110302368740,1,1,0,1,2,1
"hfs5-2020-725",110302368740,5,4,0,3,6,4
"hfs5-2020-370",110302368740,3,1,0,1,3,1
"hfs5-2020-960",110302368740,2,3,0,1,9,3
"hfs5-2020-890",110302368740,1,1,0,1,3,1
"hfs5-2020-90",110302368740,4,4,0,2,10,4
"hfs5-2020-560",110302368740,9,6,0,4,20,6
"hfs5-2020-728",110302368740,2,5,0,1,15,5
"hfs5-2020-730",110302368740,3,4,0,1,10,4
"pin",110300567460,291,84,172,2,16,6
"pin",110300567120,291,84,172,1,7,5
"pin",110301967120,291,84,172,1,3,2
"pin",110100145160,291,84,172,2,20,18
"casters",110300476210,42,43,8,1,6,4
"hcft8-500",110300476210,1,1,0,1,1,1
"casters",110300477070,42,43,8,1,3,2
"casters",110300504460,42,43,8,2,6,2
"casters",110300505430,42,43,8,1,14,6
"stehn17a",110300595640,4,3,0,0,7,3
"stehn7",110300595640,8,5,0,3,15,5
"stehn8",110300595640,7,4,0,1,5,4
"stehn5.5",110300595640,2,2,0,0,4,2
"stehn14",110300595640,8,5,0,1,7,5
"stfhn7-2",110300595640,3,3,0,1,4,3
"stfhn13-25.0",110300595640,1,1,0,0,2,1
"stehn19a",110300595640,3,3,0,2,6,3
"stehn13a",110300595640,2,1,0,0,2,1
"stfhn17-45.0",110300595640,1,1,0,0,2,1
"stehn17",110300595640,8,6,0,4,13,6
"sst",110300535870,9,3,0,1,3,3
"steh",110300595640,10,4,0,2,7,4
"mtpla14h075-e-12",110300408920,1,1,0,1,1,1
"b7204-db",110300117110,2,1,0,1,3,1
"cb3-6",110300239070,4,2,0,1,2,2
"cb2.5-12",110300239070,2,2,0,2,4,2
"cb5-10",110300239070,2,3,0,2,4,2
"cb5-10",110100141750,2,3,0,1,1,1
"mhpks101-19-20-s",110301962740,6,2,0,2,5,2
"msb10",110300249140,10,3,0,2,3,3
"msb8",110300249140,9,4,0,3,6,3
"msb12",110300249140,13,7,0,3,13,7
"msb10-35",110100143940,3,3,0,1,2,1
"hhpsdt",110302240370,7,4,0,2,9,4
"hhpsdt5",110302240370,2,2,0,2,6,2
"rollers",110302394550,86,18,65,1,1,1
"end caps",110300466410,8,4,1,1,1,1
"end caps",110302249040,8,4,1,1,1,1
"hfc6-3030",110300446540,9,7,0,2,7,7
"handles",110300516270,66,26,42,1,3,2
"handles",110300514620,66,26,42,1,6,2
"handles",110300520830,66,26,42,1,3,1
"t-nut",110300251670,13,9,0,4,18,9
"ttpa14t",110300406820,2,2,0,2,10,2
"hntj6",110302251660,0,1,0,1,2,1
"ttpa14t10250",110300406910,1,1,0,1,2,1
"hblsdb5",110300438930,2,2,0,1,3,2
"hsca5-s",110302263310,5,4,0,4,4,4
"cylindrical nuts",110300250360,3,3,0,1,2,1
"hblbs5",110300439970,4,4,0,2,8,4
"hntp5-5",110302247640,15,13,0,11,19,13
"hntp5-4",110302247640,1,1,0,0,6,1
"netw4",110300258420,2,4,0,3,6,4
"hlbm20",110300113860,2,1,0,1,1,1
"rncb3-3.5-10",110300246160,2,2,0,1,4,2
"rncb",110300246160,13,8,0,1,21,8
"hfsb8-4040-200-sc",110302370930,1,1,0,1,1,1
"hfsb8-4040-300-sc",110302370930,2,2,0,2,2,2
"hfsb8-4040-500-sc",110302370930,1,1,0,1,1,1
"hblfsn8-set",110300449520,2,2,0,2,2,2
"hblfssw8-set",110300449770,2,2,0,2,2,2
"scsp20-10",110300019450,3,2,0,2,2,2
"ttpa22t5100-b-puf",110300406820,5,5,0,5,14,5
"ttpa60t5100-b-p20",110300406820,5,5,0,5,11,5
"bellows",110302276250,19,18,0,2,15,9
"hfs5-4040-60",110302368830,10,4,0,4,4,4
"clbu",110300114650,22,9,0,5,15,9
"clbu10",110300114650,1,1,0,1,2,1
"clbp",110300114650,8,1,0,1,2,1
"clbtb",110300114650,1,1,0,0,2,1
"clbss",110300114650,9,6,0,1,15,6
"clbu8-11-10",110300114650,1,3,0,3,3,3
"scale",110300260340,27,22,4,2,27,12
"mep",110300260340,3,1,0,1,4,1
"mepch",110300260340,1,1,0,0,4,1
"mepl",110300260340,5,3,0,1,8,3
"pbtp20",110302024770,2,2,0,2,2,2
"sfmr20-585.0",110300086920,1,1,0,1,1,1
"sfmr20-630.0",110300086920,1,1,0,1,1,1
"ttbu600t5-100",110302194260,1,1,0,1,1,1
"shock absorber",110300269350,55,49,18,0,35,15
"maks",110300269350,18,11,0,1,28,11
"mac",110302276610,21,8,0,2,2,2
"mac",110300269260,21,8,0,1,15,6
"spacers",110100142630,105,73,28,1,4,4
"spacers",110200134420,105,73,28,3,9,7
"spacers",110300243540,105,73,28,1,8,5
"pekp6-25",110300243540,2,1,0,1,4,1
"cpsh",110300122260,2,1,0,1,6,1
"ccg8",110300095320,1,2,0,1,3,2
"acrylic",110300231210,11,6,5,2,4,2
"acrylic",110300534310,11,6,5,1,2,2
"bronze bushing",110300032050,49,56,0,4,16,4
"bronze bushings",110300032050,9,8,0,0,4,1
"shtnz",110300032050,10,8,0,6,21,8
"bronze bushing",110300031870,49,56,0,2,52,25
"shbr",110300031870,22,17,0,9,37,17
"flanged bushing",110300031960,21,14,2,0,6,3
"shfz10-12",110300031960,2,2,0,2,5,2
"bronze bushing",110300031960,49,56,0,1,55,22
"bronze bushin",110300031870,1,1,0,0,1,1
"frnwe",110300302610,2,2,0,1,3,2
"frnwr25",110300302860,0,1,0,1,2,1
"frnwr",110300302860,1,1,0,1,2,1
"ssfr",110300086920,27,14,0,7,26,14
"psfr",110300086920,26,10,0,2,22,10
"psfr10-104-kfc84-g20-ag75-fc0-g20",110300086920,1,1,0,1,3,1
"psfr10-104-fc84-kfc0-g20-ag75",110300086920,3,1,0,1,3,1
"psfr10-104-kfc0-g20-ag75-fc84-g20",110300086920,3,2,0,2,6,2
"psfr10-104-fc0-g20-kfc84-g20-ag75",110300086920,1,1,0,1,3,1
"psfr10-104-fc84-g20-kfc0-g20-ag75",110300086920,5,2,0,2,6,2
"psfr10-104-wfc0-j20-w0-v20-kfc0-g20-ag75",110300086920,3,2,0,2,6,2
"psfr10-104-kfc0-g20-ag60-wfc0-j20-w0-v20",110300086920,2,1,0,1,3,1
"sfr12",110300086920,1,1,0,0,2,1
"frnwc25",110300302770,0,1,0,1,2,1
"hexagonal rods",110300229970,1,2,0,2,2,2
"gpx",110300144410,2,2,0,1,6,1
"ps",110100101850,37,4,0,1,1,1
"ps",110300390810,37,4,0,1,1,1
"square nut",110302246940,6,3,3,1,11,3
"u-sfaa",110302149460,2,2,0,2,8,2
"hblfsne8-45",110302259360,3,2,0,1,5,2
"motor mounting bracket",110300079560,1,1,0,1,2,1
"tbn320l100",110300413030,2,3,0,3,7,3
"timing belts",110300413030,18,8,4,1,11,3
"tbn300l100",110300413030,1,1,0,1,3,1
"timing belts",110302194260,18,8,4,2,3,2
"timing belt",110302194260,104,79,41,3,16,7
"hfsb5-2020",110302368740,17,14,0,9,35,14
"nfsb5-2020",110302368740,3,6,0,2,13,6
"nfs5-2020",110302368740,5,3,0,2,6,3
"hfsb5-2020-500",110302368740,13,11,0,10,19,11
"hfsb5-2020-590",110302368740,1,1,0,1,3,1
"bcha24",110300427030,0,1,0,1,4,1
"utt",110302288150,4,3,0,1,4,3
"timing",110300413030,13,5,3,2,8,3
"b6909zz",110300107740,3,2,0,2,4,2
"vafz16-32-f12-m8-n8-sc5",110300002740,1,1,0,1,2,1
"sbc696zz",110300115440,1,2,0,1,2,2
"se2b",110300041510,12,5,0,3,11,5
"se",110300041510,28,1,0,1,2,1
"sseb",110300041510,81,34,0,20,105,34
"seb",110300041510,47,17,0,6,41,17
"se2bs",110300042210,3,2,0,1,6,2
"pba8",110300514710,1,1,0,1,2,1
"bpfc8",110300367870,1,1,0,1,2,1
"bpfc10",110300367870,0,1,0,1,2,1
"ubsu",110300242230,1,1,0,1,5,1
"fjmc8",110300368230,0,1,0,1,2,1
"servo",110302500520,13,14,4,1,1,1
"servo",110302499210,13,14,4,1,2,1
"servo",110302497020,13,14,4,2,6,2
"servo",110302498330,13,14,4,1,2,1
"servo",110302496410,13,14,4,3,7,3
"servo",110302495960,13,14,4,1,11,4
"stepper",110302499370,10,5,2,2,8,2
"stepper",110302497720,10,5,2,1,2,1
"hfs5-2020-55",110302368740,1,1,0,1,3,1
"aluminum extrusion",110302368740,99,20,74,2,16,6
"aluminum extrusion",110302368920,99,20,74,1,1,1
"bwu4-20",110300266030,0,1,0,1,2,1
"gmsb",110300249410,21,7,0,2,17,7
"mpgz",110300033110,15,9,0,2,27,9
"thrust bearing",110300033110,55,62,0,0,11,5
"thrust",110300033110,30,31,0,1,5,1
"wr6-15",110100184630,5,4,0,4,4,4
"fpsta",110300560210,21,11,0,2,28,11
"shaft collars",110302154360,39,22,5,2,8,2
"shaft collar",110302154360,165,139,38,1,5,2
"shaft collars",110302154450,39,22,5,1,9,4
"shaft collars",110300018930,39,22,5,1,3,1
"phlm",110300515050,4,2,0,1,3,2
"msc1",110300255260,1,1,0,1,2,1
"msc1-10",110300255260,1,2,0,1,3,2
"ms1",110100140620,2,2,0,2,4,2
"ms1-10",110100140620,0,1,0,1,2,1
"plsbwf6",110300206870,2,3,0,3,6,3
"plsbwf",110300206870,8,7,0,5,15,7
"plsbwf8",110300206870,0,1,0,1,2,1
"plsbwf7",110300206870,1,2,0,2,4,2
"plsbw",110300206870,4,1,0,1,2,1
"pdsphc6h",110300494410,1,2,0,1,7,2
"pdsphc6h-1016-496-1.6-f498-g476-n5-un70",110300494410,0,1,0,1,2,1
"pdsphd4h",110300494410,1,1,0,0,2,1
"pdsphc4h-578-500-1.6-f556-g478-n5-un70",110300494410,0,1,0,1,2,1
"pdsphc4h-576-496-1.6-f556-g476-n5-un70",110300494410,0,1,0,1,2,1
"pdsphc",110300494410,9,12,0,7,40,12
"pdsphc6hv",110300494410,0,1,0,1,5,1
"pdsphc4h-728-728-3.2-f70-g700-n8-un70-xc264",110300494410,1,1,0,0,5,1
"pdsphc4h-728-728-3.2-f60-g710-n6-un70-xc269",110300494410,3,2,0,2,10,2
"pdsphc6h-728-493",110300494410,1,1,0,0,5,1
"dknz",110300349420,1,1,0,1,2,1
"bsa",110302192860,3,3,0,3,12,3
"pjxw12-15",110300142830,0,1,0,1,2,1
"pjhw12-15",110300142830,0,1,0,1,2,1
"lbuw",110300029250,2,1,0,1,2,1
"feet",110300508660,38,38,6,2,8,5
"feet",110300508320,38,38,6,1,3,3
"feet",110300285020,38,38,6,2,34,10
"feet",110300508570,38,38,6,1,4,3
"sfjw8-70-m3-n3",110300000550,1,1,0,0,4,1
"sfjw10",110300000550,7,4,0,4,7,4
"psfgw8",110300000550,0,1,0,1,1,1
"kjpcmth16-p10-s5-m5-b10-c8",110300171870,1,1,0,1,2,1
"sfmr",110300086920,4,2,0,1,3,2
"dowel pin",110302390960,154,56,112,1,5,3
"dowel pin",110300255260,154,56,112,5,36,17
"dowel pin",110302390260,154,56,112,1,3,3
"dowel pin",110302390710,154,56,112,1,5,1
"dowel pin",110300255710,154,56,112,1,10,6
"dowel pin",110100140620,154,56,112,1,9,7
"hntlg5",110302248430,1,1,0,1,2,1
"wrocs42",110300220710,2,2,0,0,6,2
"wroc",110300220710,2,1,0,1,3,1
"selana",110300580240,2,1,0,1,2,1
"sela",110300580240,1,1,0,1,2,1
"lhicw",110300027510,11,6,0,3,11,6
"petgrf",110300208720,9,8,0,3,16,8
"petgr",110300208720,5,4,0,2,12,4
"etkgr",110300208720,9,7,0,5,13,7
"circular posts",110300208720,10,11,0,2,8,4
"petgrs",110300208720,6,4,0,1,7,4
"lmuf",110300026540,5,4,0,3,17,4
"lmuwf",110300026540,4,1,0,1,5,1
"lmuw",110300026540,6,6,0,5,14,6
"lmuwf30",110300026540,2,1,0,1,5,1
"setgs",110300208720,4,2,0,2,3,2
"setgr",110300208720,5,2,0,1,3,2
"lhfsmf",110300027060,2,2,0,1,4,2
"u-lhifs1",110302150860,0,1,0,1,2,1
"hbltdb5",110300437870,1,2,0,2,5,2
"box-nkj",110301998260,4,1,0,1,3,1
"box",110301998260,64,15,3,1,3,1
"shaft threaded tapped",110302156910,2,2,0,1,2,1
"shaft threaded tapped",110300002310,2,2,0,1,2,1
"mwscs-d40-t5-v16",110200173010,3,2,0,1,4,2
"hnfjn48-8-50",110302388610,3,1,0,1,4,1
"se2bsz",110300042210,3,1,0,1,5,1
"sebs",110300042210,16,5,0,2,14,5
"sebsz",110300042210,6,2,0,1,8,2
"sebs16x630",110300042210,1,1,0,1,5,1
"hfsb5-2020-400",110302368740,5,4,0,4,10,4
"slhsswf8g",110300028460,1,1,0,1,5,1
"lmu",110300026540,34,17,0,10,36,16
"lmu3",110300026540,3,2,0,1,6,2
"lmu",110300026450,34,17,0,1,3,1
"mssfs",110300248260,6,2,0,1,3,2
"tcpb",110100132740,3,2,0,1,1,1
"ms3",110100140620,10,10,0,10,17,10
"ms3-8",110100140620,10,6,0,6,7,6
"ms4",110100140620,7,3,0,3,3,3
"ms3-10",110100140620,15,8,0,5,10,8
"s-sbacc6900zz-25",110300104420,4,2,0,2,2,2
"bun25",110300080440,1,2,0,0,6,2
"bun20",110300080440,3,2,0,1,4,2
"cbss6-8",110300244420,1,1,0,1,3,1
"cbss",110300244420,33,13,0,8,26,13
"bsst2505",110300078160,2,5,0,3,10,5
"bsst2505-522-nc-rlc",110300078160,1,1,0,0,3,1
"bsst2505-522-nc-rlc-szc",110300078160,0,1,0,1,3,1
"wr27",110100184630,5,4,0,4,4,4
"wr14-80",110100184630,0,1,0,1,1,1
"diamond pin",110300561610,27,36,0,1,2,2
"diamond pin",110300557320,27,36,0,2,27,12
"hjpdpb3_4",110300557320,1,3,0,3,6,3
"foot",110300508750,14,6,0,1,1,1
"foot",110302388610,14,6,0,1,4,2
"tel",110300578660,14,3,0,3,6,3
"telana",110300578660,17,10,0,3,24,10
"telan",110300578660,3,3,0,3,6,3
"teland",110300578660,9,6,0,4,12,6
"eland",110300578660,3,6,0,3,11,6
"elana",110300578660,14,8,0,4,14,8
"elan",110300578660,0,1,0,1,2,1
"telana8",110300578660,2,2,0,1,4,2
"sdna10-2-14b",110300022520,3,2,0,2,4,2
"manifold",110300296310,80,112,10,1,20,12
"manifold",110300290960,80,112,10,1,3,3
"kntr6",110300250540,4,2,0,1,2,2
"ms5-10",110100140620,12,4,0,4,4,4
"ms4-10",110100140620,15,8,0,6,9,8
"ms2-8",110100140620,1,1,0,0,1,1
"ms3-20",110100140620,6,5,0,1,6,5
"ms2.5-6",110100140620,1,1,0,0,1,1
"ms5-15",110100140620,7,4,0,2,5,4
"ms6-15",110100140620,8,4,0,3,5,4
"ms4-15",110100140620,6,6,0,3,6,6
"ms4-20",110100140620,8,7,0,1,8,7
"ms3-6",110100140620,7,6,0,5,6,6
"ms5-20",110100140620,2,3,0,2,4,3
"ms4-8",110100140620,4,2,0,2,2,2
"ms2-6",110100140620,2,2,0,1,2,2
"ms2-15",110100140620,1,1,0,0,1,1
"caster",110302287540,58,37,21,2,9,3
"caster",110300504030,58,37,21,1,9,4
"caster",110302055660,58,37,21,1,4,2
"grsl704_35",110300108440,1,1,0,1,1,1
"lhmswm13g",110300027670,1,1,0,1,2,1
"mstp",110302390260,21,14,0,1,26,14
"sllm",110302358940,3,2,0,1,5,2
"pshpt",110302358940,3,1,0,1,2,1
"mhpus",110301962830,13,7,0,4,14,7
"sepn4",110300248710,5,4,0,1,5,4
"bsm3",110300144840,0,1,0,1,1,1
"pxyk16",110300147910,3,3,0,3,5,3
"pxyk16 p6",110300147910,1,1,0,0,3,1
"pxyk",110300147910,12,3,0,0,6,2
"uhfn160",110300521620,3,2,0,1,2,2
"linear gear",110300429830,1,1,0,1,2,1
"hfs6-3030-89.5",110302369620,1,1,0,0,1,1
"hfs6-3030",110302369620,20,21,0,13,62,21
"hfsb6-3030-1295",110302369620,1,1,0,1,2,1
"hfs6",110302369620,68,38,15,11,36,19
"hfs6-3030-950",110302369620,0,1,0,0,3,1
"hfs6-3030-880",110302369620,1,1,0,0,3,1
"hfs6-3030-820",110302369620,0,1,0,0,3,1
"hfs6-3030-427",110302369620,1,2,0,1,6,2
"hfsy6",110302369620,1,3,0,3,7,3
"hfs6-3030-360 lch",110302369620,2,1,0,0,4,1
"hfs6-3030-380",110302369620,7,7,0,6,19,7
"hfs6-3030-305",110302369620,0,1,0,1,4,1
"hfs6-3030w-380",110302369620,1,1,0,0,4,1
"hfs6-3030-420",110302369620,4,4,0,2,7,4
"hfs6-3030-420-ah210",110302369620,1,1,0,0,4,1
"hfs6-3030-360",110302369620,10,8,0,7,11,8
"hfs6-3030-360-ah15-bh345",110302369620,1,1,0,1,4,1
"hfs6-3030-420-bh210",110302369620,0,1,0,1,4,1
"hfs6-3030-940",110302369620,1,1,0,1,4,1
"hfs6-3030-400-z6-xa15-xb115-xc385",110302369620,1,1,0,1,4,1
"hfs6-3030-400",110302369620,1,1,0,1,4,1
"mgcb1",110300525640,3,3,0,2,4,3
"np26",110300393950,1,1,0,1,1,1
"np26-a",110300393950,2,1,0,0,1,1
"tsbe",110300593540,3,4,0,0,7,4
"tse8",110300593540,0,1,0,1,1,1
"anhn",110300591620,8,7,0,3,15,7
"ssteh10",110300595640,6,6,0,2,9,6
"mc07-12",110302208960,3,3,0,1,12,3
"ms2-10",110100140620,6,6,0,3,7,6
"ms1-6",110100140620,2,2,0,0,2,2
"nartu12",110300110020,1,3,0,2,4,3
"ssteh",110300595640,26,22,0,7,47,22
"stage",110300193320,16,6,6,1,1,1
"stage",110300190610,16,6,6,1,1,1
"pmxysm10",110300147460,4,4,0,1,7,4
"bcb3-15",110300240830,1,1,0,0,1,1
"bcb3-10",110300240830,2,1,0,1,1,1
